Job ID,Description
25,"About the job
**** Immediate Joiner Preferred ****


Location: Pune/Mumbai


Required Skills:

• Collaborate with Product Management to understand business requirements and design appropriate solutions

• Implementation and enhancement of Data pipelines

• Designs, codes, tests, supports, and documents all new BI systems, applications, reports and visualizations.

• Works with cross-functional teams to ensure the necessary data and analysis environments are available

• Develops the overall data transformation workflows and build appropriate frameworks for continued new product integrations

• Responsible for executing technical user stories for the sprint.

• Enforce and follow technical standards for deliverables of projects.

• Have a very good understanding of Continued integration to drive the DevOps implementation on respective projects using tools - Github, Jenkins.


Roles & Responsibility:

- 3+ year’s professional experience in Big Data Pipelines using Airflow or similar tools

- Proficiency in programming languages like PySpark, Python

- High level of Proficiency in SQL (Advanced) and experience with Semi-structured data

- ETL/Data Processing Technology for Data warehouse/ Data Lakes: Apache Spark, Talend, any other Open source ETL tool.(at least 2 years of experience in any of these tools),

- Knowledge of Real-time Data streaming like Apache Kafka, AWS Kinesis, Spark Streaming

- Must have a high degree of initiative to implement solutions in a fast-paced, dynamic environment.

- Must be able to understand business requirements and translate them into technical deliveries.

- Experience in Large dataset integration with a variety of different sources, each with varying degrees of data quality and cleanliness

- Knowledge and experience of data stores such as SQL Server, PostgreSQL and Cloud datastores like Snowflake - Datawarehouse/ Big data datastores

Desirable:

- Dimensional modeling methodologies and development for data warehouses

- Requires strong analytical, conceptual, and problem-solving abilities

- Familiarity with Agile concepts, and experience practicing SCRUM.

- Experience working with remote teams.

- Must have excellent communication skills.

- Nice to have: Knowledge of Predictive Analytics, ML, Data Mining models

- Nice to have: Knowledge of Data Cataloging"
26,"Our vision is to transform how the world uses information to enrich life for all.

Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.

JR9237 DATA ENGINEER, SMAI

Broad Knowledge And Experience In

Understanding of Big Data Engineering/processing, Business Intelligence and Advanced analytics
Developing ETL/ELT processes
Knowledge in databases and Data warehouse modeling
Knowledge in Cloud based data engineering and Machine Learning Models
Knowledge in building APIs for application integration
Experience with various frameworks and processes, such as Agile
Determine transformation requirements and develop processes to bring structured and unstructured data from the source to a new physical Data Model
Work with Data Scientists to implement strategies for cleaning and preparing data for analysis, to develop data imputation algorithms, and optimize performance of big data and machine learning systems

Above Average Skills In

Big Data Engineering and Processing using Hadoop stack (Hadoop, Hive, HDFS, Spark and HBase etc.)
Develop ETL/ELT processing using Apache Ni-Fi
Strong background on SQL and databases
Programming Skills in Python or Scala
Data Analysis and Validation skills

Demonstrated Ability To

Work in a dynamic, fast-paced, work environment
Self-motivated with the ability to work under minimal direction
To adapt to new technologies and learn quickly
A passion for data and information with strong analytical, problem solving, and organizational skills
Work in multi-functional groups, with diverse interests and requirements, to a common objective
Communicate very well with distributed teams (written, verbal and presentation)

About Micron Technology, Inc.

We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.

To learn more, please visit micron.com/careers

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_in@micron.com

Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.

Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron."
27,"About the job
Responsible for incident management and receiving incidents and requests from end-users.

Analyze and process these requests by updating the system and responding to the end user

Process, validate and close various regulation compliance (privacy) tickets.

Follow up on the compliance tickets.

Identify and implement practical ideas to improve the existing process.
"
28,"Our vision is to transform how the world uses information to enrich life for all.

Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.

JR9233 DATA ENGINEER, SMAI

Broad Knowledge And Experience In

Understanding of Big Data Engineering/processing, Business Intelligence and Advanced analytics
Developing ETL/ELT processes
Knowledge in databases and Data warehouse modeling
Knowledge in Cloud based data engineering and Machine Learning Models
Knowledge in building APIs for application integration
Experience with various frameworks and processes, such as Agile
Determine transformation requirements and develop processes to bring structured and unstructured data from the source to a new physical Data Model
Work with Data Scientists to implement strategies for cleaning and preparing data for analysis, to develop data imputation algorithms, and optimize performance of big data and machine learning systems

Above Average Skills In

Big Data Engineering and Processing using Hadoop stack (Hadoop, Hive, HDFS, Spark and HBase etc.)
Develop ETL/ELT processing using Apache Ni-Fi
Strong background on SQL and databases
Programming Skills in Python or Scala
Data Analysis and Validation skills

Demonstrated Ability To

Work in a dynamic, fast-paced, work environment
Self-motivated with the ability to work under minimal direction
To adapt to new technologies and learn quickly
A passion for data and information with strong analytical, problem solving, and organizational skills
Work in multi-functional groups, with diverse interests and requirements, to a common objective
Communicate very well with distributed teams (written, verbal and presentation)

About Micron Technology, Inc.

We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all. With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience.

To learn more, please visit micron.com/careers

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_in@micron.com

Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards.

Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron.
"
29,"About the job
Job Description

We’re hiring a talented Data Engineer and Big Data enthusiast to work in our platform to help ensure that our data quality is flawless. As a company, we have millions of new data points every day that come into our system. You will be working with a passionate team of engineers to solve challenging problems and ensure that we can deliver the best data to our customers, on-time. You will be using the latest cloud data warehouse technology to build robust and reliable data pipelines.

Duties/Responsibilities Include
Develop expertise in the different upstream data stores and systems across Numerator.
Design, develop and maintain data integration pipelines for Numerators growing data sets and product offerings.
Build testing and QA plans for data pipelines.
Build data validation testing frameworks to ensure high data quality and integrity.
Write and maintain documentation on data pipelines and schemas
Requirements

Skills & Requirements
BS or MS in Computer Science or related field of study
3 + years of experience in the data warehouse space
Expert in SQL, including advanced analytical queries
Proficiency in Python (data structures, algorithms, object oriented programming, using API’s)
Experience working with a cloud data warehouse (Redshift, Snowflake, Vertica)
Experience with a data pipeline scheduling framework (Airflow)
Experience with schema design and data modeling
Exceptional Candidates Will Have
Amazon Web Services (EC2, DMS, RDS) experience
Terraform and/or ansible (or similar) for infrastructure deployment
Airflow -- Experience building and monitoring DAGs, developing custom operators, using script templating solutions.
Experience supporting production systems in an on-call environment"
30,"About the job
Upwork ($UPWK) is the leading tech solution for companies looking to hire the best talent, maintain flexibility, and get more done. We’re passionate about our mission to create economic opportunities so people have better lives. Every year, more than $2 billion of work is done through Upwork by skilled professionals who want the freedom of working anytime, anywhere. Top companies connecting with extraordinary talent around the globe? Upwork is how.

This is a Contract position through Upwork’s Talent Innovation Program (TIP). Our TIP team is a global group of professionals that augment Upwork’s business. Our TIP team members are located all over the world.

Work/Project Scope
This role is with the Upwork Trust and Safety team. The ideal candidate should be a talented and hardworking senior data engineer with expert level knowledge of SQL/PostgreSQL and statistical data analysis approaches.
You will have the opportunity to work on the vast data sets in the Trust and Safety detection area.
You will be working on some business problems that may not have clearly defined requirements and need to be able to do independent research to figure out the details, hypothesize and verify, connect the dots to form the big picture and make recommendations. The ability to think out of the box is desired.
You will work with advanced SQL/Python scripts to slice and dice the existing raw data set, derive the first level data insights on a regular basis, map those out to user life journeys on our platform, project the data trends and estimate the business opportunities proactively.
You will develop and maintain rule based offline reports to continuously monitor the trends and emerging patterns, and to recommend cutoff thresholds which maximize the overall business benefit with a controlled cost.
You will need to respond to ad-hoc business data inquiries but solve them with logical and generalized approaches. Best practices that promote repeatable and predictable successes are highly valued within the team.
You will really impress us if you have good working knowledge with any of the following aspects: data warehouse platforms like Snowflake, OLAP practices, business intelligence tools like Looker/Excel and batch job processing platforms like Rundeck.
You will need to constantly communicate with the business, analytics, data science and engineering counterparts to clarify requirements, derive deep insights into our data, provide feedback, share the discovered data stories via stats, charts and formal presentations, and finally propose recommendations to the business to strengthen our trust and safety defenses on the platform.
This is a long term contract position.
Must Haves (Required Skills/qualifications)
Advanced SQL and statistical data analysis skills to deliver high-quality data queries and reports with good documentation.
Work independently and with minimal supervision.
Communicate frequently and effectively in English.
Be comfortable with multi-tasking and context switches, with proper time management according to business priorities.
Overlap for at least 4 work hours a day on weekdays with the Upwork team located in California.
Besides the above, we also highly value your dedication, sense of ownership, and desire to learn and grow.
Upwork is proudly committed to fostering a diverse and inclusive workforce. We never discriminate based on race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical condition), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics."
31,"We are Looking for Data Engineer's for Our Assignment those who can Join within Immediate to 15 Days - Good experience into Hadoop , Kafka, Spark Streaming, Spark, Hive, Spark SQL- Strong Skills in Scala to handle Spark coding.(PySpark not applicable)- Strong experience in data wrangling and analysis.- Good background into DevOps model.- Very good knowledge into stream processing.- Good communication skills.- Independent working capabilities.- Self-Motivated and curiosity to investigate solutions.- Good Team player.- Ability to communicate openly with stake holders and convert the business requirements into functional code meeting the acceptance criteria.- Contribute to solution design and challenge the assumptions by speaking up without fear.- Develop, test and deploy resilient and robust solutions in a timely, high quality and cost-effective way that meet business needs- Deliver resilient and robust operational solutions.- Participate to the deepening maturity of process and practices- Be an active participant across the entire group including attending team ceremonies and technology forums- Contribute to effort estimation, delivery planning.- Experience working in an agile team / team group- Ability to cast a broad net when reaching out for assistance.""- Notice period : Immediate to 15 Days- Position : Fulltime/Permanent (ref:hirist.com)"
32,"Data Engineer ( Associate / Sr. / Lead )Exp : 2 -

7 yrsWork Location : BangaloreJob Description :Activities :- Develop Ingestion framework using Sqoop, Nifi, Kafka, Spark Streaming, WebHDFS, Python to enable seamless data ingestion process on to the Hadoop platform- Exposure of handling structured, Un Structured and Streaming data- Building data processing framework using Talend, Spark, HQL- Enabling Data Governance and Data Discovery on Hadoop Platform- Enabling Security Framework with Kerberos, Ranger, Atlas- Enabling Data Pipeline Automation using DevOps tools- Enable Job Monitoring framework along validations automation- Create Automated testing framework.Roles & Responsibilities :- Understanding the business requirements- Preparing the Design and work on Data Ingestion, Preparation and Transformation.- Develop data streaming applications.- Develop ELT code to move the data to curated zone.- Developing end to end Pipeline automation- Develop the scripts for data sourcing and Parsing scripts using Unix,

Python.- Debugging the production failures and identifying the solution.- Monitor Performance of the Jobs and tuning them as required.- Write extensive Unit and Regression test cases- Create Project Technical DocumentationSkills :Data Engineering: Hadoop, Hive, Sqoop, Hbase, Spark, Nifi, Presto, Kafka, Python, Sql, Unix Scripting, Talend, AtlasWho can join Immediate -

20 days is only preferred. (ref:hirist.com)"
33,"About the job

Do what you love. Love what you do.

At Workday, we help the world’s largest organizations adapt to what’s next by bringing finance, HR, and planning into a single enterprise cloud. We work hard, and we’re serious about what we do. But we like to have fun, too. We put people first, celebrate diversity, drive innovation, and do good in the communities where we live and work.

About the Team
Designs, builds and oversees the deployment and operation of technology architecture, solutions and software to capture, manage, store and utilize structured and unstructured data from internal and external sources. Establishes and builds processes and structures based on business and technical requirements to channel data from multiple inputs, route appropriately and store using any combination of distributed (cloud) structures, local databases, and other applicable storage forms as required. Â Develops technical tools and programming that leverage artificial intelligence, machine learning and big-data techniques to cleanse, organize and transform data and to maintain, defend and update data structures and integrity on an automated basis. Creates and establishes design standards and assurance processes for software, systems and applications development to ensure compatibility and operability of data connections, flows and storage requirements. Reviews internal and external business and product requirements for data operations and activity and suggests changes and upgrades to systems and storage to accommodate ongoing needs.
About the Role

Come be a part of something big.

Workday is embarking on our next growth adventure. As our Business Technology team continues its mission to deliver unparalleled value to our business partners and customers, we are expanding our presence in the Asia-Pacific region with a new Business Technology office in Pune, India . This new office will be an essential development center to propel the growth of our company through transformational programs for Go-To-Market and Enterprise Data Analytics teams. If you want to be a part of building something big that will drive value throughout the entire global organization, then this is the opportunity for you. You will be working on top priority initiatives that span new and existing technologies - all to deliver outstanding results and experiences for our Customers and employees.

Our Enterprise Architecture and Data Services team is currently looking for a Data Engineer. The Data Engineer will be an integral member of the Data Services Team in the BT Enterprise Architecture and Data organization. This is a hands-on role which will be responsible for design, development, and implementation of data integration, data warehouse and data mart solutions using cloud technologies. An ideal candidate will have extensive knowledge of the data warehouse and data engineering using latest tools and Open source frameworks.

About the Enterprise Data Services Team:

The Enterprise Data Services organization in Business Technology takes pride in enabling data driven business outcomes to spearhead Workday’s growth through trusted data excellence, innovation and architecture thought leadership. The team is responsible for developing and supporting Data Services, Data Warehouse, Analytics, MDM, Data Quality and Advanced Analytics/ML for multiple business functions including Sales, Marketing, Services, Support and Customer Experience. We leverage leading modern cloud platforms like AWS, Reltio, Tableau, Snaplogic, MongoDB in addition to the native AWS technologies like Spark, Airflow, Redshift, Sagemaker and Kafka

Job Responsibilities:
Develop and automate high-performance data processing systems to drive Workday business growth and improve the product experience.
Evangelize high quality software engineering practices towards building data infrastructure and pipelines at scale.
Build reliable, efficient, testable, & maintainable data pipelines.
Design and Develop data pipelines using Metadata driven ETL Tools and Open source data processing frameworks.
Hands-on experience with source version control, continuous integration and experience with release/change management delivery tools.
Provide production support and resolve high priority incidents and the development coding issues.
Work with cross functional teams to enable data insights through Data lifecycle.

Qualifications:
6+ years of experience designing and building scalable and robust data pipelines to enable data-driven decisions for the business.
Prior experience with CRM systems like SFDC is required.
Experience building analytical solutions to Sales and Marketing teams.
Experience with very large-scale data warehouse and data engineering projects
Experience developing low latency data processing solutions like AWS Kinesis, Kafka, Spark Stream processing.
Should be proficient in writing advanced SQLs, Expertise in performance tuning of SQLs
Experience working with AWS data technologies like S3, EMR, Lambda, DynamoDB, Redshift etc.
Strong experience in one or more programming languages for processing of large data sets, such as Python, Scala.
Ability to create data models, STAR schemas for data consuming.
Extensive experience in troubleshooting data issues, analyzing end to end data pipelines and in working with users in resolving issues
BS/MS in computer science or equivalent is required

About You

NA

Are you being referred to one of our roles? If so, ask your connection at Workday about our Employee Referral process!"
34,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

Be involved in data engineering activities like Creating pipelines / workflows for Source to Target etc.

Responsibilities

You will be involved in the Azure Data platform implementation. Willing to work in shift timings 2PM to 11PM
Responsible for assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL
Work with version control GitHub and CI/CD pipelines using Azure DevOps

If you thrive in a dynamic, collaborative workplace, IBM provides an environment where you will be challenged and inspired every single day. And if you relish the freedom to bring creative, thoughtful solutions to the table, there's no limit to what you can accomplish here.

Required Technical and Professional Expertise

Total Years of Experience 5+ years in IT industry
2+ years current and deep experience with Azure Data platform implementation. Proven experience managing projects through the entire project lifecycle.
Relevant years of experience 2+ years in Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQL
Proficient in Azure Data Integration, Azure Data Architecture
Proven experience using the Microsoft Azure Data Stack (ADFv2, Azure SQL DB, Azure SQL Datawarehouse, Azure Data Lake, Azure Databricks, Analysis Services, Cosmos DB)
Experience in Azure data migration patterns
Experience in Python, C# is mandatory
Agile methodology experience essential
3+ years’ experience assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Hands on experience Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL

Preferred Technical And Professional Expertise

AZ 900 - Azure Fundamentals
DP 200, DP 201, DP 203, AZ 204 - Data Engineering
AZ 400 - Devops Certification
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications
Experience working with version control GitHub and CI/CD pipelines using Azure DevOps

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status."
35,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

Be involved in data engineering activities like Creating pipelines / workflows for Source to Target etc.

Responsibilities

You will be involved in the Azure Data platform implementation. Willing to work in shift timings 2PM to 11PM
Responsible for assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL
Work with version control GitHub and CI/CD pipelines using Azure DevOps

If you thrive in a dynamic, collaborative workplace, IBM provides an environment where you will be challenged and inspired every single day. And if you relish the freedom to bring creative, thoughtful solutions to the table, there's no limit to what you can accomplish here.

Required Technical and Professional Expertise

Total Years of Experience 5+ years in IT industry
2+ years current and deep experience with Azure Data platform implementation. Proven experience managing projects through the entire project lifecycle.
Relevant years of experience 2+ years in Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQL
Proficient in Azure Data Integration, Azure Data Architecture
Proven experience using the Microsoft Azure Data Stack (ADFv2, Azure SQL DB, Azure SQL Datawarehouse, Azure Data Lake, Azure Databricks, Analysis Services, Cosmos DB)
Experience in Azure data migration patterns
Experience in Python, C# is mandatory
Agile methodology experience essential
3+ years’ experience assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Hands on experience Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL

Preferred Technical And Professional Expertise

AZ 900 - Azure Fundamentals
DP 200, DP 201, DP 203, AZ 204 - Data Engineering
AZ 400 - Devops Certification
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications
Experience working with version control GitHub and CI/CD pipelines using Azure DevOps

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
"
36,"Introduction

At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities

Be involved in data engineering activities like Creating pipelines / workflows for Source to Target etc.

Responsibilities

You will be involved in the Azure Data platform implementation. Willing to work in shift timings 2PM to 11PM
Responsible for assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL
Work with version control GitHub and CI/CD pipelines using Azure DevOps

If you thrive in a dynamic, collaborative workplace, IBM provides an environment where you will be challenged and inspired every single day. And if you relish the freedom to bring creative, thoughtful solutions to the table, there's no limit to what you can accomplish here.

Required Technical and Professional Expertise

Total Years of Experience 5+ years in IT industry
2+ years current and deep experience with Azure Data platform implementation. Proven experience managing projects through the entire project lifecycle.
Relevant years of experience 2+ years in Azure Data Factory, Azure Data Lake, Azure DevOps, Azure DataBricks, AzureSQL
Proficient in Azure Data Integration, Azure Data Architecture
Proven experience using the Microsoft Azure Data Stack (ADFv2, Azure SQL DB, Azure SQL Datawarehouse, Azure Data Lake, Azure Databricks, Analysis Services, Cosmos DB)
Experience in Azure data migration patterns
Experience in Python, C# is mandatory
Agile methodology experience essential
3+ years’ experience assessing feasibility of migrating customer solutions and/or integrating with 3rd party systems both Microsoft and non-Microsoft platforms
Hands on experience Designing and developing Data Pipelines for Data Ingestion or Transformation using Python (PySpark)/Spark SQL

Preferred Technical And Professional Expertise

AZ 900 - Azure Fundamentals
DP 200, DP 201, DP 203, AZ 204 - Data Engineering
AZ 400 - Devops Certification
You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge technologies
Ambitious individual who can work under their own direction towards agreed targets/goals and with creative approach to work
Intuitive individual with an ability to manage change and proven time management
Proven interpersonal skills while contributing to team effort by accomplishing related results as needed
Up-to-date technical knowledge by attending educational workshops, reviewing publications
Experience working with version control GitHub and CI/CD pipelines using Azure DevOps

About Business Unit

IBM Services is a team of business, strategy and technology consultants that design, build, and run foundational systems and services that is the backbone of the world's economy. IBM Services partners with the world's leading companies in over 170 countries to build smarter businesses by reimagining and reinventing through technology, with its outcome-focused methodologies, industry-leading portfolio and world class research and operations expertise leading to results-driven innovation and enduring excellence.

Your Life @ IBM

Are you craving to learn more? Prepared to solve some of the world's most unique challenges? And ready to shape the future for millions of people? If so, then it's time to join us, express your individuality, unleash your curiosity and discover new possibilities.

Every IBMer, and potential ones like yourself, has a voice, carves their own path, and uses their expertise to help co-create and add to our story. Together, we have the power to make meaningful change – to alter the fabric of our clients, of society and IBM itself, to create a truly positive impact and make the world work better for everyone.

It's time to define your career.

About IBM

IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 50 companies relying on the IBM Cloud to run their business.

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

Location Statement

When applying to jobs of your interest, we recommend that you do so for those that match your experience and expertise. Our recruiters advise that you apply to not more than 3 roles in a year for the best candidate experience.

For additional information about location requirements, please discuss with the recruiter following submission of your application.

Being You @ IBM

IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, pregnancy, disability, age, veteran status, or other characteristics. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
"
